은행,「자본시장과 금융투자업에 관한 법률」제12조에 따라 증권을 대상으로 투자매매업·투자중개업의 인가를 받은 투자매매업자·투자중개업자, 보험회사, 종합금융회사, 상호저축은행이 예금보험대상입니다.
아래 검색 기능을 통해 각 금융권역별 금융회사의 이름과 주소 등을 검색하실 수 있습니다.
금융권역, 회사명 검색하기
금융권역
전체
은행
종합금융회사
생명보험회사
손해보험회사
투자매매업자ㆍ투자중개업자
상호저축은행
신용협동조합
회사명
검색
초기화
25.12월 기준
좌우로 움직여보세요
금융권역 | 회사명 | 주소 | 연락처 | FAX | 대표자명
투자매매업자ㆍ투자중개업자 | (주)BNK투자증권 | 부산광역시 부산진구 새싹로1(부전동) 부산은행 부전동별관 3층 4층 | 051-669-8000 | 051-669-8009 | 신명호
투자매매업자ㆍ투자중개업자 | (주)iM에셋자산운용 | 서울 영등포구 의사당대로 97 14층 (여의도동 교보증권빌딩) | 02-707-4200 | 02-785-8340 | 권정훈
투자매매업자ㆍ투자중개업자 | (주)리치먼드자산운용 | 서울시 중구 을지로148 5층 (을지로3가 중앙데코플라자) | 02-6276-3000 | 02-6276-3086 | 길진용
투자매매업자ㆍ투자중개업자 | (주)안다자산운용 | 서울특시 강남구 도산대로 318 9층 (논현동 SB타워) | 02-2156-2800 | 02-2156-2890 | 최근창김대중다니엘페레즈
은행 | (주)엠유에프지은행 서울지점 | 서울특별시 종로구 청계천로 41 영풍빌딩 4층 | 02-399-6400 | 02-399-6494 | 호조 히로후미
손해보험회사 | (주)케이비손해보험 | 서울특별시 강남구 테헤란로 117(역삼동 KB손해보험 빌딩) | 154-4-0114 | 02-6900-3815 | 구본욱
손해보험회사 | AIG 손해보험주식회사 | 서울특별시 영등포구 국제금융로 10 국제금융센터 TWO IFC 27F | 226-0-6800 | 02-2011-4607 | 램지 알버트 투바시
은행 | BNP파리바 | 서울특별시 중구 퇴계로 100 스테이트타워 남산 24-25층 | 02-317-1700 | 02-319-3086 | 필립 누와로
은행 | DBS은행 | 서울특별시 중구 세종대로 136 서울파이낸스센터 18층 | 02-6322-2660 | 02-732-7953 | 김길수
생명보험회사 | DB생명보험(주) | 서울 강남구 테헤란로 432 DB금융센터 7층 | 158-8-3131 | 0505-129-0249 | 김영만
1
2
3
4
5
다음 페이지
마지막 페이지
손해보험회사 | DB손해보험주식회사 | 서울시 강남구 테헤란로 432 DB금융센터 | 158-8-0100 | 02-2262-1761 | 정종표
투자매매업자ㆍ투자중개업자 | DB증권주식회사 | 서울특별시 영등포구 국제금융로 8길 32 DB증권빌딩 | 02-369-3000 | 02-780-1310 | 곽봉석
상호저축은행 | (주)DH저축은행 | 부산 부산진구 중앙대로 935 (양정동) | 051-867-7701 | 051-867-1169 | 하정근
상호저축은행 | (주)HB저축은행 | 서울 강남구 강남대로 556 2층 7층 10층 | 183-3-8889 | 02-591-0747 | 문규현
상호저축은행 | (주)IBK저축은행 | 부산 부산진구 중앙대로 735 45층(부전동) | 051-791-4300 | 051-791-4304 | 전병성
투자매매업자ㆍ투자중개업자 | KB증권 주식회사 | 서울시 영등포구 여의나루로 50 | 158-8-6611 | 02-780-9230 | 강진두 이홍구
투자매매업자ㆍ투자중개업자 | NH선물(주) | 서울특별시 영등포구 국제금융로8길 2 16층 17층(여의도동 농협재단빌딩) | 158-8-4280 | 02-785-0574 | 강필규
상호저축은행 | NH저축은행(주) | 서울시 강남구 테헤란로 317 동훈타워 2~4층 | 158-8-5191 | 02-3016-2393 | 김장섭
은행 | OCBC | 서울특별시 중구 세종대로 136 서울파이낸스센터 25층 | 02-2021-3900 | 02-754-2343 | 루이 킷 훙 마크
상호저축은행 | (주)SBI저축은행 | 서울특별시 중구 을지로5길 26 9층 10층 11층 | 02-1566-2210 | 02-3445-2227 | 김문석
투자매매업자ㆍ투자중개업자 | SK증권주식회사 | 서울특별시 영등포구 국제금융로8길 31(여의도동) | 02-3773-8245 | 02-783-9351 | 전우종 정준호
투자매매업자ㆍ투자중개업자 | ㈜골든브릿지자산운용 | 서울시 강서구 개화동로 29길 29 2층 | 02-360-9500 |  | 이창민
상호저축은행 | ㈜바로저축은행 | 서울시 강남구 대치동 943-19 | 02-3467-0100 | 02-3467-0133 | 김민수
은행 | 경남은행 | 경상남도 창원시 마산회원구 3·15대로 642 | 055-290-8000 | 055-290-8298 | 최홍영
상호저축은행 | (주)고려저축은행 | 부산 동구 중앙대로 244 흥국생명 부산사옥 3F-5F | 187-7-9900 | 051-640-9010 | 김정기
투자매매업자ㆍ투자중개업자 | 골드만삭스증권회사서울지점 | 서울시 종로구 새문안로68 흥국생명빌딩 21층 | 02-3788-1000 | 02-3788-1597 | 최재준 안재훈
은행 | 광주은행 | 광주시 동구 제봉로 225 | 062-239-5000 | 062-239-5199 | 송종욱
생명보험회사 | 교보라이프플래닛생명보험 주식회사 | 서울특별시 용산구 한강대로 35 5층(한강로 3가) | 02-6020-8000 | 02-6020-8096 | 김영석
생명보험회사 | 교보생명보험주식회사 | 서울 종로구 종로 1 | 721-2121-3131 | 02-721-3329 | 신창재 조대규
투자매매업자ㆍ투자중개업자 | 교보악사자산운용(주) | 서울 종로구 종로 1가 1번지 교보생명빌딩 15층 | 02-767-9600 |  | 조휘성 프레데릭 벨만
투자매매업자ㆍ투자중개업자 | 교보증권주식회사 | 서울특별시 영등포구 의사당대로97(여의도동 26-4) | 02-3771-9000 | 02-3771-9190 | 박봉권 이석기
은행 | 교통은행 | 서울특별시 중구 을지로 29 더존을지타워 6층 | 02-2022-6888 | 02-2022-6899 | 왕융칭
은행 | 국민은행 | 서울특별시 영등포구 국제금융로 8길 26 | 02-2073-7114 | 02-2073-5209 | 허인
상호저축은행 | (주)국제저축은행 | 부산 부산진구 중앙대로 612 (범천동) | 051-636-2121 | 051-643-4432 | 윤정열
상호저축은행 | (주)금화저축은행 | 인천 부평구 부흥로 307 (부평4동) | 032-526-6000 | 032-526-1001 | 이경희
상호저축은행 | 남양저축은행 | 경기 구리시 검배로 10 (수택동) | 031-566-3300 | 031-551-6950 | 이상명
투자매매업자ㆍ투자중개업자 | 넥스트증권 주식회사 | 서울시 영등포구 국제금융로 10 15층(여의도동 쓰리아이에프씨) | 02-788-7000 | 02-788-7000 | KIM SEUNGYEON(김승연)
투자매매업자ㆍ투자중개업자 | 노무라금융투자주식회사 | 서울시 중구 세종대로 136 서울파이낸스센터 17층 04520 | 02-3783-2000 |  | 유지 야마사키
생명보험회사 | 농협생명보험 주식회사 | 서울 서대문구 통일로 87(미근동) | 154-4-4000 | 02-3786-7120 | 박병희
손해보험회사 | 농협손해보험 주식회사 | 서울특별시 서대문구 충정로60(미근동21-1) | 164-4-9000 | 02-3786-7740 | 최문섭
은행 | 농협은행주식회사 | 서울특별시 중구 통일로 120 | 02-2080-7850 | 02-397-5380 | 권준학
은행 | 뉴욕멜론은행 | 서울특별시 영등포구 국제금융로 10 원아이에프씨 29층 | 02-6137-0001 | 02-399-0055 | 김윤수
