start_id,end_id,evidence_page_id
fact:concealed_assets_reward_maximum,contact:concealed_assets_report_center,
fact:concealed_assets_reward_rate,contact:concealed_assets_report_center,
fact:deposit_protection_limit,monetary_rule:deposit_protection_limit,
fact:deposit_protection_limit_effective_date,monetary_rule:deposit_protection_limit,
fact:individual_rehabilitation_income_requirement,concept:individual_rehabilitation,
fact:individual_rehabilitation_repayment_period,concept:individual_rehabilitation,
fact:individual_rehabilitation_secured_debt_limit,concept:individual_rehabilitation,
fact:individual_rehabilitation_unsecured_debt_limit,concept:individual_rehabilitation,
fact:mistaken_remittance_amount_range,eligibility:mistaken_remittance_return_support,
fact:mistaken_remittance_application_deadline,eligibility:mistaken_remittance_return_support,
fact:mistaken_remittance_prior_return_request,eligibility:mistaken_remittance_return_support,
fact:mistaken_remittance_supported_date_threshold,eligibility:mistaken_remittance_self_check,
fact:recipient_voluntary_return_deadline,concept:mistaken_remittance_recipient_cautions,
fact:visit_reception_hours,contact:mistaken_remittance_visit,
fact:visit_reception_lunch_break,contact:mistaken_remittance_visit,
