start_id,end_id,evidence_page_id
actor:deposit_insurance_payment_target_institution,service:deposit_insurance_payment,
actor:mistaken_remitter,service:mistaken_remittance_return,
actor:protected_financial_institution,service:deposit_protection,
concept:bankrupt_financial_company_information_search,service:unclaimed_funds,
concept:bankruptcy_discharge,service:debt_adjustment,
concept:bankruptcy_estate_management,service:unclaimed_funds,
concept:bankruptcy_estate_status,service:unclaimed_funds,
concept:deposit_insurance_payment,service:deposit_insurance_payment,
concept:deposit_protection_logo_use_rules,service:deposit_protection,
concept:display_explanation_confirmation_scheme,service:deposit_protection,
concept:individual_rehabilitation,service:debt_adjustment,
concept:insured_financial_company_survey,service:deposit_protection,
concept:insured_financial_company_survey_legal_basis,service:deposit_protection,
concept:international_deposit_protection_limits,service:deposit_protection,
concept:mistaken_remittance_recipient_cautions,service:mistaken_remittance_return,
concept:mistaken_remittance_regulations,service:mistaken_remittance_return,
concept:mistaken_remitter_cautions,service:mistaken_remittance_return,
concept:protected_financial_product,service:deposit_protection,
concept:savings_bank_name_change_history,service:deposit_protection,
concept:special_asset_management_system,service:unclaimed_funds,
concept:special_asset_status,service:unclaimed_funds,
concept:trust_real_estate_management_system,service:unclaimed_funds,
concept:trust_real_estate_status,service:unclaimed_funds,
concept:unclaimed_funds_integrated_application,service:unclaimed_funds,
contact:concealed_assets_report_center,service:concealed_assets_report,
contact:financial_misconduct_report_center,service:concealed_assets_report,
contact:mistaken_remittance_visit,service:mistaken_remittance_return,
contact:unclaimed_funds_phone,service:unclaimed_funds,
eligibility:mistaken_remittance_return_support,service:mistaken_remittance_return,
eligibility:mistaken_remittance_self_check,service:mistaken_remittance_return,
monetary_rule:deposit_protection_limit,service:deposit_protection,
procedure:deposit_insurance_payment_application,service:deposit_insurance_payment,
procedure:insured_financial_company_survey_objection,service:deposit_protection,
procedure:mistaken_remittance_application,service:mistaken_remittance_return,
procedure:mistaken_remittance_return_support,service:mistaken_remittance_return,
required_document:deposit_insurance_application,service:deposit_insurance_payment,
required_document:mistaken_remittance_recipient_forms,service:mistaken_remittance_return,
required_document:mistaken_remitter_application,service:mistaken_remittance_return,
service:credit_recovery_support,service:debt_adjustment,
service:debt_certificate_financial_information_request,service:debt_adjustment,
service:debt_information_inquiry_consultation,service:debt_adjustment,
service:failure_responsibility_investigation_status,service:concealed_assets_report,
service:heir_financial_transaction_inquiry,service:unclaimed_funds,
service:protected_financial_institution_search,service:deposit_protection,
service:protected_financial_product_search,service:deposit_protection,
