start_id,end_id,evidence_page_id
document:dp_faq_page,fact:deposit_protection_limit_effective_date,dp_faq_page
document:dp_fnst,actor:protected_financial_institution,dp_fnst
document:dp_fnst,alias:2b3a82d88799afba,dp_fnst
document:dp_fnst,alias:505e1597b2cd0597,dp_fnst
document:dp_fnst,alias:fb02653d6ba4a113,dp_fnst
document:dp_fnst_srch,actor:protected_financial_institution,dp_fnst_srch
document:dp_fnst_srch,alias:13deb7fa49852f6b,dp_fnst_srch
document:dp_fnst_srch,alias:23c0994ddd9fb591,dp_fnst_srch
document:dp_fnst_srch,alias:2b3a82d88799afba,dp_fnst_srch
document:dp_fnst_srch,alias:505e1597b2cd0597,dp_fnst_srch
document:dp_fnst_srch,alias:b9ef443b7f31e7d6,dp_fnst_srch
document:dp_fnst_srch,alias:c7800b9b4617a0bb,dp_fnst_srch
document:dp_fnst_srch,service:protected_financial_institution_search,dp_fnst_srch
document:dp_gudn,alias:af1a13456dc5df57,dp_gudn
document:dp_gudn,concept:display_explanation_confirmation_scheme,dp_gudn
document:dp_gudn_data,concept:display_explanation_confirmation_scheme,dp_gudn_data
document:dp_gudn_faq,alias:46ac2a437e370e57,dp_gudn_faq
document:dp_gudn_faq,concept:display_explanation_confirmation_scheme,dp_gudn_faq
document:dp_josa_itrd,alias:6e123182d8213155,dp_josa_itrd
document:dp_josa_itrd,concept:insured_financial_company_survey,dp_josa_itrd
document:dp_josa_law,alias:952b02eff5633158,dp_josa_law
document:dp_josa_law,alias:d572ce2e7459e0b6,dp_josa_law
document:dp_josa_law,concept:insured_financial_company_survey,dp_josa_law
document:dp_josa_law,concept:insured_financial_company_survey_legal_basis,dp_josa_law
document:dp_josa_objc,alias:360015082e86d12a,dp_josa_objc
document:dp_josa_objc,alias:83f4a83aaff968aa,dp_josa_objc
document:dp_josa_objc,concept:insured_financial_company_survey,dp_josa_objc
document:dp_josa_objc,procedure:insured_financial_company_survey_objection,dp_josa_objc
document:dp_logo,concept:deposit_protection_logo_use_rules,dp_logo
document:dp_logo,concept:display_explanation_confirmation_scheme,dp_logo
document:dp_ovrs,concept:international_deposit_protection_limits,dp_ovrs
document:dp_prdct,alias:0993c51df94aaa27,dp_prdct
