id,label,status,properties_json
fact:concealed_assets_reward_maximum,은닉재산 신고 포상금 최대 30억원,source_verified_domain_approved,"{""predicate"":""has_monetary_limit"",""object"":{""type"":""MonetaryValue"",""value"":3000000000,""currency"":""KRW"",""operator"":""maximum""},""evidence"":{""page_id"":""ha_center"",""source_url"":""https://www.kdic.or.kr/sp/sprtfund/SprtFndCncmDclrGudn/selectScrn.do"",""content_sha256"":""dba66fb0b1581bf925c8cc2eff706e7efe2468c6ad22d9b6fd438d70e51cd799"",""quote"":""최대 30억원의 포상금을 지급하고 있음""}}"
fact:concealed_assets_reward_rate,은닉재산 신고 포상금 회수금액의 5~20%,source_verified_domain_approved,"{""predicate"":""has_percentage_range"",""object"":{""type"":""PercentageRange"",""minimum"":5,""maximum"":20,""basis"":""recovered_amount_after_costs""},""evidence"":{""page_id"":""ha_center"",""source_url"":""https://www.kdic.or.kr/sp/sprtfund/SprtFndCncmDclrGudn/selectScrn.do"",""content_sha256"":""dba66fb0b1581bf925c8cc2eff706e7efe2468c6ad22d9b6fd438d70e51cd799"",""quote"":""회수금액(소요비용 공제)의 5~20% 수준에서 차등 산정""}}"
fact:deposit_protection_limit,예금자 보호한도 1인·금융회사별 1억원,source_verified_domain_approved,"{""predicate"":""has_limit"",""object"":{""type"":""MonetaryValue"",""value"":100000000,""currency"":""KRW"",""scope"":""per_person_per_financial_institution""},""evidence"":{""page_id"":""dp_protlmts"",""source_url"":""https://www.kdic.or.kr/sp/dpstrprot/ProtSystProtLmts/selectScrn.do"",""content_sha256"":""80ae7ac40cf6e94b0114f69461c164906920ea5fa0a1265c372a5a2ff7070637"",""quote"":""금융회사별로 1인당 1억원까지 보호됩니다.""}}"
fact:deposit_protection_limit_effective_date,예금자 보호한도 1억원 적용일 2025년 9월 1일,source_verified_domain_approved,"{""predicate"":""effective_from"",""object"":{""type"":""Date"",""value"":""2025-09-01""},""evidence"":{""page_id"":""dp_faq_page"",""source_url"":""https://www.kdic.or.kr/sp/dpstrprot/ProtSystFaq/selectScrn.do"",""content_sha256"":""053957508cb2b05942fa36d7ef48414f9c69b9da76654e53d6f3163a8a80d186"",""quote"":""2025년 9월 1일부터 예금보호한도 1억원이 적용되고 있습니다.""}}"
fact:individual_rehabilitation_income_requirement,개인회생 신청 조건 · 계속적·반복적 수입 가능성,source_verified_domain_approved,"{""predicate"":""has_eligibility"",""object"":{""type"":""Requirement"",""requirement"":""continuing_regular_reliable_income""},""evidence"":{""page_id"":""dr_psn_rg"",""source_url"":""https://www.kdic.or.kr/rb/lbltajmt/LbltAjmtSprtPsnRg/selectScrn.do"",""content_sha256"":""9901d6f02393e4636842e0a032491c81b5740c3b4822176ea1da7ebba2fe4252"",""quote"":""정기적이고, 확실한 수입을 계속하여 얻을 가능성이 있는 사람이어야 합니다.""}}"
fact:individual_rehabilitation_repayment_period,개인회생 변제기간 최대 5년,source_verified_domain_approved,"{""predicate"":""has_time_rule"",""object"":{""type"":""Duration"",""maximum"":5,""unit"":""year""},""evidence"":{""page_id"":""dr_psn_rg"",""source_url"":""https://www.kdic.or.kr/rb/lbltajmt/LbltAjmtSprtPsnRg/selectScrn.do"",""content_sha256"":""9901d6f02393e4636842e0a032491c81b5740c3b4822176ea1da7ebba2fe4252"",""quote"":""변제기간\n5년을 초과할 수 없습니다.""}}"
fact:individual_rehabilitation_secured_debt_limit,개인회생 담보부 채무 한도 15억원 이하,source_verified_domain_approved,"{""predicate"":""has_monetary_limit"",""object"":{""type"":""MonetaryValue"",""value"":1500000000,""currency"":""KRW"",""debt_type"":""secured"",""operator"":""not_exceed""},""evidence"":{""page_id"":""dr_psn_rg"",""source_url"":""https://www.kdic.or.kr/rb/lbltajmt/LbltAjmtSprtPsnRg/selectScrn.do"",""content_sha256"":""9901d6f02393e4636842e0a032491c81b5740c3b4822176ea1da7ebba2fe4252"",""quote"":""무담보 채무의 경우 10억 원, 담보부 채무의 경우 15억 원을 넘지 않아야 합니다.""}}"
fact:individual_rehabilitation_unsecured_debt_limit,개인회생 무담보 채무 한도 10억원 이하,source_verified_domain_approved,"{""predicate"":""has_monetary_limit"",""object"":{""type"":""MonetaryValue"",""value"":1000000000,""currency"":""KRW"",""debt_type"":""unsecured"",""operator"":""not_exceed""},""evidence"":{""page_id"":""dr_psn_rg"",""source_url"":""https://www.kdic.or.kr/rb/lbltajmt/LbltAjmtSprtPsnRg/selectScrn.do"",""content_sha256"":""9901d6f02393e4636842e0a032491c81b5740c3b4822176ea1da7ebba2fe4252"",""quote"":""무담보 채무의 경우 10억 원, 담보부 채무의 경우 15억 원을 넘지 않아야 합니다.""}}"
fact:mistaken_remittance_amount_range,착오송금 반환지원 신청금액 5만원 이상 1억원 이하,source_verified_domain_approved,"{""predicate"":""has_monetary_range"",""object"":{""type"":""MonetaryRange"",""minimum"":50000,""maximum"":100000000,""currency"":""KRW"",""inclusive"":true},""evidence"":{""page_id"":""kmrs_aply_trgt"",""source_url"":""https://www.kdic.or.kr/sp/kmrs/kmrsItrdAplyTrgt/selectScrn.do"",""content_sha256"":""59dc690d463cc8be1cc8bb64b0d94ffddd53dbe50698493be796c8c21e05f740"",""quote"":""신청 가능 한도는 착오송금 건당 5만원 이상 ~ 1억원 이하 입니다.""}}"
fact:mistaken_remittance_application_deadline,착오송금 반환지원 신청기한 · 송금일로부터 1년 이내,source_verified_domain_approved,"{""predicate"":""has_time_rule"",""object"":{""type"":""Duration"",""value"":1,""unit"":""year"",""anchor"":""mistaken_remittance_date"",""inclusive_text"":""이내""},""evidence"":{""page_id"":""kmrs_aply_trgt"",""source_url"":""https://www.kdic.or.kr/sp/kmrs/kmrsItrdAplyTrgt/selectScrn.do"",""content_sha256"":""59dc690d463cc8be1cc8bb64b0d94ffddd53dbe50698493be796c8c21e05f740"",""quote"":""잘못 이체한 날로부터 1년 이내까지 신청 가능합니다""}}"
